DATE,FEDFUNDS
2006-10-01,5.25
2007-01-01,5.26
2007-04-01,5.25
2007-07-01,5.07
2007-10-01,4.50
2008-01-01,3.18
2008-04-01,2.09
2008-07-01,1.94
2008-10-01,0.51
2009-01-01,0.18
2009-04-01,0.18
2009-07-01,0.16
2009-10-01,0.12
2010-01-01,0.13
2010-04-01,0.19
2010-07-01,0.19
2010-10-01,0.19
2011-01-01,0.16
2011-04-01,0.09
2011-07-01,0.08
2011-10-01,0.07
2012-01-01,0.10
2012-04-01,0.15
2012-07-01,0.14
2012-10-01,0.16
2013-01-01,0.14
2013-04-01,0.12
2013-07-01,0.08
2013-10-01,0.09
2014-01-01,0.07
2014-04-01,0.09
2014-07-01,0.09
2014-10-01,0.10
2015-01-01,0.11
2015-04-01,0.12
2015-07-01,0.14
2015-10-01,0.16
2016-01-01,0.36
2016-04-01,0.37
2016-07-01,0.40
2016-10-01,0.45
2017-01-01,0.70
