Time Period,M1,M2
2007-01,1368.7,7064.1
2007-02,1347.1,7075.7
2007-03,1378,7172.9
2007-04,1392,7262.5
2007-05,1385.2,7207.7
2007-06,1370.4,7251.7
2007-07,1368.2,7254.4
2007-08,1372.4,7314
2007-09,1355.9,7334.4
2007-10,1369,7345
2007-11,1370.1,7403.5
2007-12,1394.5,7471.3
2008-01,1375.6,7469.3
2008-02,1365.5,7551.3
2008-03,1400.7,7685.5
2008-04,1406.2,7734.4
2008-05,1396.1,7676.3
2008-06,1406.9,7698.8
2008-07,1417.3,7711.7
2008-08,1400.9,7709.5
2008-09,1441.1,7783.1
2008-10,1462.2,7891
2008-11,1513.3,7980.8
2008-12,1631.9,8199.5
2009-01,1580.3,8243.9
2009-02,1551.6,8272.5
2009-03,1594.5,8407.6
2009-04,1627.3,8407.7
2009-05,1617.5,8395
2009-06,1661.3,8407.7
2009-07,1657.2,8374.2
2009-08,1650.9,8353.3
2009-09,1640.6,8361.6
2009-10,1663.8,8393.6
2009-11,1682.7,8469
2009-12,1724,8511.4
2010-01,1673.7,8432
2010-02,1684.8,8476
2010-03,1729.1,8543.8
2010-04,1715.5,8568.6
2010-05,1707.7,8551
2010-06,1731.9,8573
2010-07,1718,8543.5
2010-08,1739.2,8574.4
2010-09,1741,8616.2
2010-10,1767,8677
2010-11,1828.3,8742.6
2010-12,1870.9,8824.8
2011-01,1855.1,8817.4
2011-02,1858.2,8855
2011-03,1909,8968.5
2011-04,1917.5,9023.8
2011-05,1933.7,8994.3
2011-06,1953.7,9083
2011-07,1994,9235.5
2011-08,2101.4,9430.4
2011-09,2098.6,9469.2
2011-10,2127.7,9519.2
2011-11,2163.9,9602.4
2011-12,2207.7,9698.7
2012-01,2208.7,9731.5
2012-02,2194,9756.9
2012-03,2245.5,9873.4
2012-04,2268.2,9919.2
2012-05,2248,9852.8
2012-06,2270.6,9930.4
2012-07,2314.1,9975.5
2012-08,2334.2,10038.6
2012-09,2357.5,10134.7
2012-10,2415.7,10214.9
2012-11,2414.7,10312.8
2012-12,2509.3,10501
2013-01,2480.8,10476.3
2013-02,2455.2,10449.9
2013-03,2496.5,10596.5
2013-04,2541.4,10625.2
2013-05,2517.5,10548.1
2013-06,2522.3,10612.6
2013-07,2542.3,10651.7
2013-08,2535.8,10706.9
2013-09,2553.9,10774.3
2013-10,2616.1,10900.4
2013-11,2604.8,10944.4
2013-12,2713.2,11071.5
2014-01,2699.2,11068.7
2014-02,2703.5,11120.1
2014-03,2770.4,11245.2
2014-04,2806.8,11298.4
2014-05,2779.3,11241.7
2014-06,2821.7,11303.6
2014-07,2838.1,11359.3
2014-08,2787,11390.6
2014-09,2831.4,11438.9
2014-10,2861.7,11506.7
2014-11,2857.8,11582.8
2014-12,2988.7,11728.1
2015-01,2937.7,11727.1
2015-02,2976.3,11815.7
2015-03,3020.4,11925.5
2015-04,3032,11973.8
2015-05,2972.4,11877.3
2015-06,3017.2,11931.8
2015-07,3034.8,11982.7
2015-08,3018.7,12040.4
2015-09,3012.7,12108.2
2015-10,3008.1,12140.8
2015-11,3052.2,12267.1
2015-12,3136.8,12396.9
2016-01,3090.4,12448.5
2016-02,3093.8,12488.7
2016-03,3177.9,12656.4
2016-04,3233.5,12750.9
2016-05,3234.1,12681
2016-06,3247.3,12762
2016-07,3244.2,12820.7
2016-08,3316.7,12914.6
2016-09,3296,12989.9
2016-10,3327.5,13058.5
2016-11,3324.4,13167
2016-12,3380.8,13277.3
2017-01,3380,13263.9
2017-02,3339,13280.6
